N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,18,21,45,19,45
75,478,289,2775,330,2775
100,629,386,4950,480,4950
1000,10621,5964,499500,7987,499500
5000,75861,34266,12497500,51822,12497500
7500,113299,56870,28121250,81822,28121250
10000,166691,73534,49995000,113631,49995000
20000,363349,157068,199990000,247248,199990000
50000,981703,414960,1249975000,684481,1249975000
75000,1492917,667114,2812462500,1068946,2812462500
100000,2113369,879918,4999950000,1468946,4999950000

