N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,18,32,0,0,30
75,252,539,0,0,225
100,328,719,0,0,300
1000,3288,11213,0,0,3000
5000,17432,66069,0,0,15000
7500,24872,99107,0,0,22500
10000,34872,132141,0,0,30000
20000,69752,304285,0,0,60000
50000,169620,760713,0,0,150000
75000,213880,1291069,0,0,225000
100000,339252,1721429,0,0,300000

