N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,25,37,18,21,30
75,402,617,876,1128,225
100,602,850,1659,2067,300
1000,8343,12445,157188,188967,3000
5000,48347,72280,3684354,4484169,15000
7500,76062,108295,8212470,9929910,22500
10000,105172,144306,14740353,17915049,30000
20000,222530,329258,59012619,71274393,60000
50000,605800,823641,373462779,451100742,150000
75000,943692,1385403,840175962,1017655227,225000
100000,1274060,1846757,1483928250,1794236640,300000

