N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,9,13,45,25,45
75,401,181,2775,398,2775
100,526,266,4950,573,4950
1000,8138,4292,499500,8977,499500
5000,56034,27010,12497500,56809,12497500
7500,83534,43478,28121250,89309,28121250
10000,122058,59020,49995000,123617,49995000
20000,264106,128038,199990000,267233,199990000
50000,708202,356520,1249975000,734465,1249975000
75000,1141394,551242,2812462500,1143929,2812462500
100000,1516394,763036,4999950000,1568929,4999950000

