N,sort,stable_sort,tri_a_bulle,tri_par_insertion,tri_par_selection
10,37,42,57,57,30
75,516,674,4200,4200,225
100,791,906,7233,7233,300
1000,9624,13177,748818,748818,3000
5000,55716,76044,18646074,18646074,15000
7500,86769,114266,42327045,42327045,22500
10000,118809,152011,75346305,75346305,30000
20000,252378,344233,298369254,298369254,60000
50000,678093,860558,1890337899,1890337899,150000
75000,1040549,1440979,4234176387,4234176387,225000
100000,1427187,1921514,7486998027,7486998027,300000

